product_handle,author,author_location,rating,title,content,author_country,commented_at,verify_purchase,feature,publish
sky-blue-embroidered-cotton-co-ord-set,Aditi Sethi,"Jaipur, India",5,Stunning in person,"Bahut sundar hai, loved it. The colour is gorgeous in person and the fit is spot on. Will definitely order again.",IN,3/8/2026,yes,no,yes
red-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Riya Goel,"Nashik, India",5,Exceeded expectations,"Bahut sundar hai, loved it. The dupatta is gorgeous and the whole set feels festive and premium. Adding more to my cart soon.",IN,1/27/2026,yes,no,yes
navy-printed-viscose-blended-midi-dress-2,Anjali Iyer,"Ludhiana, India",5,Highly recommend,"Obsessed with this! Flattering fit, great for brunch and dinners. Delivery was quick too.",IN,3/10/2026,yes,no,yes
pista-embroidered-silk-blended-kurta-bottom-dupatta-set,Priya Saxena,"Kolkata, India",5,Gorgeous!,"So so happy with this one. Complete set, perfect for functions and got so many compliments. Highly recommend to everyone!",IN,2/23/2026,yes,no,yes
maroon-embroidered-silk-blended-kurta-bottom-dupatta-set,Tanvi Singh,"Visakhapatnam, India",4,Looks great,"Quite happy with this. Good set overall, the bottom was a little long. Good value for money.",IN,3/31/2026,yes,no,yes
lavender-printed-viscose-blended-midi-dress,Ridhima Malhotra,"Noida, India",5,Premium quality,"Obsessed with this! Lovely fabric, twirls so well and feels premium. Highly recommend to everyone!",IN,4/3/2026,yes,no,yes
maroon-printed-viscose-blended-midi-dress,Harshita Naidu,"Chandigarh, India",5,Repeat buyer,"Obsessed with this! Flattering fit, great for brunch and dinners. Delivery was quick too.",IN,4/2/2026,yes,no,yes
green-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set-2,Karan Desai,"Surat, India",5,Repeat buyer,Obsessed with this! The dupatta is gorgeous and the whole set feels festive and premium. Adding more to my cart soon.,IN,4/6/2026,yes,no,yes
sky-blue-embroidered-cotton-blended-midi-dress,Kavya Joshi,"Vadodara, India",5,Got so many compliments,This is now my favourite. The dress flows beautifully and is so comfortable. Delivery was quick too.,IN,2/18/2026,yes,no,yes
multi-colour-printed-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Riya Kulkarni,"Visakhapatnam, India",5,Repeat buyer,So so happy with this one. Embroidery is rich and the fit of all three pieces is spot on. Repeat customer for sure.,IN,4/5/2026,yes,no,yes
purple-printed-viscose-blended-midi-dress,Ridhima Mehta,"Hyderabad, India",5,Fabric is lovely,"Absolutely in love with this! Flattering fit, great for brunch and dinners. Lovely Lady never disappoints.",IN,2/15/2026,no,no,yes
purple-embroidered-silk-blended-kurta-bottom-dupatta-set-2,Diya Joshi,"Guwahati, India",4,Good quality,"Liked it a lot. Nice festive set, colour a touch different from the photo. Good value for money.",IN,1/17/2026,yes,no,yes
magenta-embroidered-viscose-blended-co-ord-set,Mahika Mishra,"Jaipur, India",5,Premium quality,Worth every single rupee. The fabric falls beautifully and feels premium. Lovely Lady never disappoints.,IN,4/25/2026,yes,no,yes
violet-printed-crepe-silk-co-ord-set,Payal Jain,"Raipur, India",5,Best purchase,"Bahut sundar hai, loved it. The fabric falls beautifully and feels premium. Packaging was lovely.",IN,5/29/2026,yes,no,yes
beige-solid-linen-blended-co-ord-set,Payal Verma,"Gurugram, India",5,So elegant,Loved it the moment I opened the parcel. The colour is gorgeous in person and the fit is spot on. Delivery was quick too.,IN,5/17/2026,yes,no,yes
magenta-embroidered-silk-blended-kurta-bottom-dupatta-set,Diya Naidu,"Ahmedabad, India",4,Looks great,"Quite happy with this. Good set overall, the bottom was a little long. Recommend it.",IN,5/27/2026,yes,no,yes
sea-green-printed-crepe-silk-co-ord-set,Ridhima Patel,"Dehradun, India",5,Fabric is lovely,"So so happy with this one. Such a comfy co-ord, perfect for brunch and travel. Adding more to my cart soon.",IN,3/13/2026,yes,no,yes
green-printed-rayon-midi-dress-2,Simran Bajaj,"Bhubaneswar, India",5,Stunning in person,"Even prettier than the photos. Lovely fabric, twirls so well and feels premium. Adding more to my cart soon.",IN,1/24/2026,yes,no,yes
sky-blue-printed-viscose-blended-midi-dress,Aishwarya Chawla,"Guwahati, India",5,Absolutely love it,Even prettier than the photos. Perfect length and the print is vibrant. Packaging was lovely.,IN,3/24/2026,yes,no,yes
pista-embroidered-cotton-blended-midi-dress,Riya Khanna,"Jaipur, India",4,Runs slightly small,"Really pretty piece. Good dress, the length was a little long for me. Recommend it.",IN,3/22/2026,yes,no,yes
white-solid-viscose-blended-korean-style-co-ord-set,Charvi Chawla,"Mysuru, India",5,Worth every rupee,Such a beautiful piece. The fabric falls beautifully and feels premium. Highly recommend to everyone!,IN,2/11/2026,yes,no,yes
navy-embroidered-silk-blended-kurta-bottom-dupatta-set,Kavya Verma,"Ahmedabad, India",5,Stunning in person,"Bahut sundar hai, loved it. Embroidery is rich and the fit of all three pieces is spot on. Will definitely order again.",IN,5/21/2026,yes,yes,yes
white-embroidered-viscose-blended-co-ord-set,Aarohi Chopra,"Bengaluru, India",5,Exceeded expectations,Worth every single rupee. The colour is gorgeous in person and the fit is spot on. Adding more to my cart soon.,IN,5/25/2026,yes,yes,yes
pista-printed-viscose-blended-midi-dress,Swati Verma,"Patna, India",5,Gorgeous!,Absolutely in love with this! The dress flows beautifully and is so comfortable. Adding more to my cart soon.,IN,2/15/2026,yes,no,yes
pink-printed-cotton-blended-midi-dress,Rishabh Chauhan,"Jaipur, India",5,Gorgeous!,"Such a beautiful piece. Lovely fabric, twirls so well and feels premium. Adding more to my cart soon.",IN,4/4/2026,yes,no,yes
maroon-embroidered-silk-blended-kurta-bottom-dupatta-set-2,Ritika Khanna,"Mysuru, India",5,Absolutely love it,Obsessed with this! Embroidery is rich and the fit of all three pieces is spot on. Delivery was quick too.,IN,1/15/2026,yes,no,yes
yellow-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set,Naina Reddy,"Surat, India",4,Runs slightly small,"Good one for the price. Lovely set; dupatta is pretty, kurta fit slightly loose. Would buy again.",IN,3/7/2026,yes,no,yes
yellow-solid-cotton-satin-co-ord-set,Janhvi Singh,"Nashik, India",5,Highly recommend,Such a beautiful piece. Top and pants both fit perfectly and the set looks so trendy. Will definitely order again.,IN,1/22/2026,yes,no,yes
beige-solid-linen-blended-co-ord-set,Arjun Bhat,"Dehradun, India",5,Absolutely love it,Even prettier than the photos. The fabric falls beautifully and feels premium. Packaging was lovely.,IN,3/10/2026,yes,no,yes
peach-printed-viscose-blended-midi-dress,Simran Bhatia,"Bengaluru, India",5,Got so many compliments,Worth every single rupee. The dress flows beautifully and is so comfortable. Highly recommend to everyone!,IN,1/18/2026,yes,no,yes
violet-printed-crepe-silk-co-ord-set,Snigdha Goel,"Indore, India",5,Fabric is lovely,This is now my favourite. Top and pants both fit perfectly and the set looks so trendy. Repeat customer for sure.,IN,5/22/2026,yes,no,yes
printed-teal-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Swati Arora,"Bengaluru, India",5,Got so many compliments,"Even prettier than the photos. Complete set, perfect for functions and got so many compliments. Highly recommend to everyone!",IN,5/25/2026,yes,no,yes
black-solid-viscose-blended-korean-style-co-ord-set,Ritika Pandey,"Visakhapatnam, India",5,Highly recommend,Genuinely impressed. Top and pants both fit perfectly and the set looks so trendy. Packaging was lovely.,IN,5/4/2026,yes,no,yes
navy-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-2,Pallavi Chauhan,"Dehradun, India",5,So elegant,So so happy with this one. The dupatta is gorgeous and the whole set feels festive and premium. Adding more to my cart soon.,IN,1/26/2026,yes,no,yes
navy-blue-embroidered-viscose-silk-blended-co-ord-set,Divya Gupta,"Surat, India",5,Highly recommend,"Bahut sundar hai, loved it. Such a comfy co-ord, perfect for brunch and travel. Delivery was quick too.",IN,1/17/2026,yes,no,yes
purple-printed-viscose-blended-midi-dress,Tanvi Gupta,"Nashik, India",5,Best purchase,"Even prettier than the photos. Lovely fabric, twirls so well and feels premium. Packaging was lovely.",IN,2/12/2026,yes,no,yes
white-embroidered-viscose-silk-blended-co-ord-set,Dhruv Bhatia,"Thane, India",5,Best purchase,Such a beautiful piece. The colour is gorgeous in person and the fit is spot on. Will definitely order again.,IN,2/24/2026,yes,no,yes
red-printed-viscose-blended-midi-dress-2,Deepika Trivedi,"Visakhapatnam, India",5,Best purchase,So so happy with this one. The dress flows beautifully and is so comfortable. Packaging was lovely.,IN,3/4/2026,yes,no,yes
multi-colour-printed-cotton-blended-midi-dress,Charvi Chopra,"Bhubaneswar, India",5,Best purchase,Genuinely impressed. The dress flows beautifully and is so comfortable. Packaging was lovely.,IN,5/5/2026,yes,no,yes
sea-green-solid-cotton-satin-co-ord-set,Arjun Malhotra,"Nagpur, India",5,Highly recommend,"Bahut sundar hai, loved it. Top and pants both fit perfectly and the set looks so trendy. Highly recommend to everyone!",IN,2/5/2026,yes,no,yes
navy-embroidered-silk-blended-kurta-bottom-dupatta-set-4,Diya Nair,"Lucknow, India",5,Stunning in person,Even prettier than the photos. The colour and the work look so elegant in person. Repeat customer for sure.,IN,1/31/2026,yes,no,yes
navy-blue-embroidered-viscose-silk-blended-co-ord-set,Snigdha Mehta,"Kochi, India",4,Looks great,Good one for the price. Both pieces fit well and the fabric is comfy. Happy overall.,IN,5/26/2026,yes,no,yes
turquoise-green-solid-cotton-satin-co-ord-set,Mahika Menon,"Chandigarh, India",5,Repeat buyer,"Bahut sundar hai, loved it. The fabric falls beautifully and feels premium. Repeat customer for sure.",IN,6/11/2026,yes,no,yes
green-embroidered-viscose-blended-co-ord-set-2,Bhavya Verma,"Dehradun, India",5,Highly recommend,Even prettier than the photos. The colour is gorgeous in person and the fit is spot on. Adding more to my cart soon.,IN,1/31/2026,yes,no,yes
white-embroidered-viscose-blended-co-ord-set,Mahika Pandey,"Guwahati, India",5,Bahut sundar,Even prettier than the photos. Top and pants both fit perfectly and the set looks so trendy. Will definitely order again.,IN,1/13/2026,yes,no,yes
navy-printed-viscose-blended-midi-dress-2,Simran Arora,"Bengaluru, India",5,Gorgeous!,"This is now my favourite. Lovely fabric, twirls so well and feels premium. Repeat customer for sure.",IN,3/7/2026,yes,no,yes
pink-solid-viscose-blended-korean-style-co-ord-set-2,Sonal Sethi,"Chennai, India",5,So elegant,Loved it the moment I opened the parcel. Top and pants both fit perfectly and the set looks so trendy. Repeat customer for sure.,IN,3/26/2026,yes,no,yes
sea-green-solid-cotton-satin-co-ord-set,Manvi Roy,"Nashik, India",4,Runs slightly small,Liked it a lot. Both pieces fit well and the fabric is comfy. Happy overall.,IN,5/1/2026,no,no,yes
black-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set,Ridhima Khanna,"Vadodara, India",5,Bahut sundar,This is now my favourite. The colour and the work look so elegant in person. Packaging was lovely.,IN,6/16/2026,yes,no,yes
navy-embroidered-silk-blended-kurta-bottom-dupatta-set-2,Trisha Agarwal,"Dehradun, India",5,Bahut sundar,"Genuinely impressed. Complete set, perfect for functions and got so many compliments. Highly recommend to everyone!",IN,4/16/2026,yes,yes,yes
magenta-embroidered-viscose-blended-co-ord-set,Saloni Bajaj,"Kolkata, India",5,Best purchase,Such a beautiful piece. The fabric falls beautifully and feels premium. Adding more to my cart soon.,IN,2/10/2026,yes,no,yes
purple-embroidered-cotton-blended-midi-dress,Komal Arora,"Raipur, India",5,Perfect fit,"Obsessed with this! Lovely fabric, twirls so well and feels premium. Will definitely order again.",IN,4/6/2026,yes,yes,yes
forest-green-printed-viscose-blended-midi-dress,Isha Sethi,"Gurugram, India",5,Beautiful piece,This is now my favourite. The dress flows beautifully and is so comfortable. Delivery was quick too.,IN,4/21/2026,yes,no,yes
pista-embroidered-cotton-blended-midi-dress,Rishabh Mishra,"Chennai, India",5,Premium quality,"So so happy with this one. Flattering fit, great for brunch and dinners. Repeat customer for sure.",IN,3/5/2026,yes,no,yes
lavender-embroidered-silk-blended-kurta-bottom-dupatta-set,Kavya Bhat,"Visakhapatnam, India",5,Bahut sundar,Loved it the moment I opened the parcel. Embroidery is rich and the fit of all three pieces is spot on. Adding more to my cart soon.,IN,1/19/2026,yes,no,yes
magenta-embroidered-viscose-silk-blended-co-ord-set,Janhvi Agarwal,"Gurugram, India",5,Bahut sundar,Worth every single rupee. Top and pants both fit perfectly and the set looks so trendy. Will definitely order again.,IN,3/3/2026,yes,no,yes
red-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Simran Rao,"Kolkata, India",5,Fabric is lovely,Worth every single rupee. The dupatta is gorgeous and the whole set feels festive and premium. Will definitely order again.,IN,5/22/2026,yes,no,yes
green-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-2,Nidhi Goel,"Patna, India",5,Exceeded expectations,"This is now my favourite. Complete set, perfect for functions and got so many compliments. Delivery was quick too.",IN,6/14/2026,yes,no,yes
navy-embroidered-silk-blended-kurta-bottom-dupatta-set-2,Megha Sharma,"Lucknow, India",5,Gorgeous!,Even prettier than the photos. Embroidery is rich and the fit of all three pieces is spot on. Delivery was quick too.,IN,5/25/2026,yes,no,yes
teal-blue-embroidered-cotton-blended-midi-dress,Dhruv Singh,"Chandigarh, India",5,Absolutely love it,So so happy with this one. The dress flows beautifully and is so comfortable. Lovely Lady never disappoints.,IN,6/9/2026,yes,no,yes
maroon-printed-viscose-blended-midi-dress,Aarohi Sharma,"Guwahati, India",5,Worth every rupee,Such a beautiful piece. Perfect length and the print is vibrant. Delivery was quick too.,IN,5/28/2026,no,no,yes
navy-embroidered-silk-blended-kurta-bottom-dupatta-set,Aarohi Sharma,"Gurugram, India",5,Fabric is lovely,"Bahut sundar hai, loved it. Embroidery is rich and the fit of all three pieces is spot on. Will definitely order again.",IN,5/26/2026,yes,no,yes
green-printed-crepe-silk-co-ord-set,Ananya Arora,"Patna, India",4,Runs slightly small,"Good one for the price. Nice set, the pants were slightly loose but manageable. Would buy again.",IN,4/21/2026,yes,no,yes
brown-embroidered-silk-blended-3-4-sleeves-straight-cut-long-kurta,Ritika Patel,"Gurugram, India",3,Average,Average experience honestly. Looks okay but the stitching could be better. Just be sure about the size.,IN,4/13/2026,yes,no,yes
purple-embroidered-silk-blended-kurta-bottom-dupatta-set,Sanya Gupta,"Bhubaneswar, India",5,Gorgeous!,Obsessed with this! The colour and the work look so elegant in person. Adding more to my cart soon.,IN,3/3/2026,yes,no,yes
teal-printed-viscose-blended-midi-dress,Snigdha Bajaj,"Vadodara, India",4,Really nice,Really pretty piece. Nice print; fit was slightly loose at the waist. Happy overall.,IN,1/12/2026,yes,no,yes
brown-embroidered-silk-blended-3-4-sleeves-straight-cut-long-kurta,Neha Banerjee,"Raipur, India",5,Stunning in person,Obsessed with this! Length is perfect and the stitching is neat. Delivery was quick too.,IN,3/19/2026,yes,no,yes
purple-printed-viscose-blended-midi-dress,Megha Pandey,"Raipur, India",5,Beautiful piece,"Such a beautiful piece. Lovely fabric, twirls so well and feels premium. Will definitely order again.",IN,1/7/2026,yes,no,yes
green-printed-crepe-silk-co-ord-set,Rhea Sharma,"Delhi, India",4,Good quality,"Quite happy with this. Nice set, the pants were slightly loose but manageable. Good value for money.",IN,2/10/2026,yes,no,yes
green-embroidered-silk-blended-kurta-bottom-dupatta-set-2,Rahul Pillai,"Bengaluru, India",5,Absolutely love it,Absolutely in love with this! The dupatta is gorgeous and the whole set feels festive and premium. Highly recommend to everyone!,IN,6/4/2026,yes,yes,yes
teal-blue-embroidered-cotton-blended-midi-dress,Megha Chawla,"Chennai, India",5,So elegant,Such a beautiful piece. Perfect length and the print is vibrant. Repeat customer for sure.,IN,1/29/2026,yes,no,yes
purple-solid-viscose-blended-korean-style-co-ord-set,Isha Kapoor,"Bengaluru, India",5,Highly recommend,So so happy with this one. The colour is gorgeous in person and the fit is spot on. Lovely Lady never disappoints.,IN,4/16/2026,yes,no,yes
green-embroidered-viscose-blended-co-ord-set,Neha Pandey,"Nagpur, India",4,Runs slightly small,Nice pick overall. Both pieces fit well and the fabric is comfy. Would buy again.,IN,5/20/2026,yes,no,yes
white-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-3,Saloni Bajaj,"Gurugram, India",5,Got so many compliments,Genuinely impressed. The dupatta is gorgeous and the whole set feels festive and premium. Will definitely order again.,IN,5/31/2026,yes,no,yes
dark-green-printed-viscose-blended-midi-dress-2,Nidhi Reddy,"Guwahati, India",5,So elegant,"This is now my favourite. Flattering fit, great for brunch and dinners. Highly recommend to everyone!",IN,4/18/2026,yes,no,yes
pink-embroidered-cotton-co-ord-set,Trisha Mehta,"Mumbai, India",4,Good quality,Good one for the price. Both pieces fit well and the fabric is comfy. Good value for money.,IN,3/1/2026,yes,no,yes
yellow-solid-viscose-blended-korean-style-co-ord-set,Isha Trivedi,"Vadodara, India",5,Exceeded expectations,Loved it the moment I opened the parcel. The fabric falls beautifully and feels premium. Packaging was lovely.,IN,3/27/2026,yes,no,yes
green-embroidered-silk-blended-kurta-bottom-dupatta-set-2,Aarohi Mehta,"Kochi, India",5,Best purchase,Absolutely in love with this! The dupatta is gorgeous and the whole set feels festive and premium. Will definitely order again.,IN,2/9/2026,yes,no,yes
golden-coloured-embroidered-viscose-silk-blended-co-ord-set,Snigdha Kulkarni,"Mysuru, India",5,Worth every rupee,"Bahut sundar hai, loved it. The colour is gorgeous in person and the fit is spot on. Lovely Lady never disappoints.",IN,1/29/2026,yes,no,yes
green-embroidered-viscose-blended-co-ord-set-2,Naina Bhatia,"Guwahati, India",5,Premium quality,Genuinely impressed. The fabric falls beautifully and feels premium. Packaging was lovely.,IN,6/19/2026,yes,yes,yes
brown-embroidered-silk-blended-3-4-sleeves-straight-cut-long-kurta,Harshita Jain,"Raipur, India",4,Pretty and comfy,"Really pretty piece. Comfortable, but the length was a touch long for me. Recommend it.",IN,3/8/2026,no,no,yes
green-printed-rayon-midi-dress,Tanvi Sharma,"Noida, India",5,Best purchase,Loved it the moment I opened the parcel. The dress flows beautifully and is so comfortable. Adding more to my cart soon.,IN,5/13/2026,yes,yes,yes
green-embroidered-viscose-blended-co-ord-set,Ritika Chawla,"Surat, India",4,Nice for the price,"Good one for the price. Nice set, the pants were slightly loose but manageable. Would buy again.",IN,5/1/2026,yes,no,yes
sea-green-embroidered-cotton-co-ord-set,Sneha Desai,"Jaipur, India",5,Repeat buyer,This is now my favourite. Top and pants both fit perfectly and the set looks so trendy. Packaging was lovely.,IN,1/11/2026,yes,no,yes
white-embroidered-viscose-blended-co-ord-set,Charvi Verma,"Vadodara, India",5,Got so many compliments,Loved it the moment I opened the parcel. The fabric falls beautifully and feels premium. Delivery was quick too.,IN,6/18/2026,yes,no,yes
yellow-printed-silk-blended-midi-dress,Anjali Saxena,"Lucknow, India",5,Premium quality,This is now my favourite. Perfect length and the print is vibrant. Adding more to my cart soon.,IN,6/9/2026,yes,no,yes
sky-blue-printed-viscose-blended-midi-dress,Karan Kapoor,"Ludhiana, India",5,Highly recommend,"Bahut sundar hai, loved it. Flattering fit, great for brunch and dinners. Highly recommend to everyone!",IN,6/1/2026,yes,no,yes
green-solid-viscose-blended-korean-style-co-ord-set,Kavya Bhatia,"Chandigarh, India",5,So elegant,Even prettier than the photos. The colour is gorgeous in person and the fit is spot on. Adding more to my cart soon.,IN,4/5/2026,yes,no,yes
teal-blue-embroidered-cotton-co-ord-set,Swati Patel,"Noida, India",5,Beautiful piece,Loved it the moment I opened the parcel. Top and pants both fit perfectly and the set looks so trendy. Will definitely order again.,IN,6/18/2026,yes,no,yes
white-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-3,Nidhi Arora,"Nagpur, India",4,Nice for the price,"Liked it a lot. Good set overall, the bottom was a little long. Recommend it.",IN,2/5/2026,yes,no,yes
grey-printed-crepe-silk-co-ord-set,Megha Kapoor,"Visakhapatnam, India",5,Beautiful piece,Even prettier than the photos. The fabric falls beautifully and feels premium. Will definitely order again.,IN,6/6/2026,yes,no,yes
brown-embroidered-silk-blended-3-4-sleeves-straight-cut-long-kurta,Lavanya Malhotra,"Thane, India",5,Exceeded expectations,Even prettier than the photos. The embroidery is delicate and looks really premium. Packaging was lovely.,IN,5/15/2026,yes,no,yes
sky-blue-embroidered-cotton-co-ord-set,Nisha Chawla,"Bhopal, India",5,Beautiful piece,So so happy with this one. The fabric falls beautifully and feels premium. Repeat customer for sure.,IN,3/21/2026,yes,no,yes
printed-magenta-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Sakshi Pandey,"Bhopal, India",4,Happy with it,"Nice pick overall. Lovely set; dupatta is pretty, kurta fit slightly loose. Would buy again.",IN,1/29/2026,yes,no,yes
maroon-embroidered-silk-blended-kurta-bottom-dupatta-set-2,Deepika Gupta,"Lucknow, India",5,Exceeded expectations,Obsessed with this! The dupatta is gorgeous and the whole set feels festive and premium. Lovely Lady never disappoints.,IN,3/25/2026,yes,no,yes
green-printed-rayon-midi-dress-2,Isha Banerjee,"Bengaluru, India",4,Pretty and comfy,"Liked it a lot. Good dress, the length was a little long for me. Good value for money.",IN,1/11/2026,yes,no,yes
sky-blue-embroidered-cotton-blended-midi-dress,Charvi Nair,"Coimbatore, India",5,Repeat buyer,This is now my favourite. Perfect length and the print is vibrant. Highly recommend to everyone!,IN,2/11/2026,yes,no,yes
lavender-printed-viscose-blended-midi-dress,Manav Goel,"Mysuru, India",5,Exceeded expectations,"Genuinely impressed. Flattering fit, great for brunch and dinners. Packaging was lovely.",IN,1/27/2026,yes,no,yes
violet-printed-crepe-silk-co-ord-set,Payal Chauhan,"Mysuru, India",5,Worth every rupee,Genuinely impressed. Top and pants both fit perfectly and the set looks so trendy. Adding more to my cart soon.,IN,1/5/2026,yes,no,yes
yellow-solid-cotton-satin-co-ord-set,Aarohi Bhatia,"Indore, India",5,Stunning in person,So so happy with this one. Top and pants both fit perfectly and the set looks so trendy. Lovely Lady never disappoints.,IN,5/12/2026,yes,no,yes
wine-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Sonal Arora,"Gurugram, India",5,Repeat buyer,Absolutely in love with this! Embroidery is rich and the fit of all three pieces is spot on. Adding more to my cart soon.,IN,6/8/2026,yes,no,yes
pista-embroidered-viscose-blended-co-ord-set,Mahika Sethi,"Noida, India",4,Really nice,Quite happy with this. Trendy co-ord; colour slightly different from the photo. Happy overall.,IN,4/8/2026,yes,no,yes
yellow-printed-silk-blended-midi-dress,Simran Mishra,"Vadodara, India",5,Best purchase,"Worth every single rupee. Lovely fabric, twirls so well and feels premium. Delivery was quick too.",IN,6/12/2026,yes,yes,yes
maroon-embroidered-silk-blended-kurta-bottom-dupatta-set,Pallavi Mehta,"Patna, India",4,Runs slightly small,"Nice pick overall. Good set overall, the bottom was a little long. Would buy again.",IN,6/13/2026,yes,no,yes
beige-embroidered-viscose-blended-co-ord-set,Snigdha Nair,"Delhi, India",4,Looks great,Liked it a lot. Trendy co-ord; colour slightly different from the photo. Would buy again.,IN,1/10/2026,yes,no,yes
purple-embroidered-silk-blended-kurta-bottom-dupatta-set,Sakshi Khanna,"Bengaluru, India",5,Beautiful piece,"Obsessed with this! Complete set, perfect for functions and got so many compliments. Packaging was lovely.",IN,5/6/2026,no,no,yes
green-printed-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set-3,Nidhi Arora,"Kochi, India",5,Worth every rupee,Obsessed with this! The colour and the work look so elegant in person. Repeat customer for sure.,IN,1/31/2026,yes,no,yes
red-printed-viscose-blended-midi-dress,Rohan Malhotra,"Gurugram, India",4,Runs slightly small,Really pretty piece. Nice print; fit was slightly loose at the waist. Happy overall.,IN,5/24/2026,yes,no,yes
sky-blue-printed-viscose-blended-midi-dress,Khushi Iyer,"Pune, India",4,Really nice,Good one for the price. Nice print; fit was slightly loose at the waist. Would buy again.,IN,3/29/2026,yes,no,yes
navy-solid-cotton-satin-co-ord-set,Sonal Shetty,"Nashik, India",5,Highly recommend,"Worth every single rupee. Such a comfy co-ord, perfect for brunch and travel. Adding more to my cart soon.",IN,6/7/2026,yes,no,yes
blue-embroidered-viscose-blended-co-ord-set,Aishwarya Arora,"Nashik, India",3,Just okay,Average experience honestly. Decent set but the fabric felt a bit thin. Okay for the price.,IN,3/29/2026,yes,no,yes
green-embroidered-silk-blended-kurta-bottom-dupatta-set,Megha Roy,"Noida, India",5,Got so many compliments,"Bahut sundar hai, loved it. Embroidery is rich and the fit of all three pieces is spot on. Highly recommend to everyone!",IN,2/13/2026,yes,yes,yes
green-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Aarohi Chopra,"Surat, India",5,Got so many compliments,Even prettier than the photos. The colour and the work look so elegant in person. Delivery was quick too.,IN,6/10/2026,yes,no,yes
multi-colour-printed-cotton-blended-midi-dress,Ritika Banerjee,"Ahmedabad, India",5,Beautiful piece,"This is now my favourite. Flattering fit, great for brunch and dinners. Repeat customer for sure.",IN,4/15/2026,yes,yes,yes
navy-embroidered-silk-blended-kurta-bottom-dupatta-set,Pooja Trivedi,"Bhubaneswar, India",5,Best purchase,So so happy with this one. The dupatta is gorgeous and the whole set feels festive and premium. Adding more to my cart soon.,IN,5/19/2026,yes,no,yes
