product_handle,author,author_location,rating,title,content,author_country,commented_at,verify_purchase,feature,publish
blue-embroidered-silk-blended-kurta-bottom-dupatta-set,Nisha Singh,"Thane, India",5,Beautiful piece,Obsessed with this! Embroidery is rich and the fit of all three pieces is spot on. Repeat customer for sure.,IN,6/5/2026,yes,no,yes
green-solid-viscose-blended-korean-style-co-ord-set,Nisha Bajaj,"Ahmedabad, India",5,Exceeded expectations,"Even prettier than the photos. Such a comfy co-ord, perfect for brunch and travel. Highly recommend to everyone!",IN,3/17/2026,yes,yes,yes
sky-blue-embroidered-cotton-co-ord-set,Megha Pandey,"Kochi, India",5,Repeat buyer,This is now my favourite. Top and pants both fit perfectly and the set looks so trendy. Will definitely order again.,IN,6/18/2026,yes,no,yes
pink-printed-cotton-blended-midi-dress,Aarohi Bhat,"Patna, India",5,Exceeded expectations,Loved it the moment I opened the parcel. Perfect length and the print is vibrant. Highly recommend to everyone!,IN,4/14/2026,yes,no,yes
brown-embroidered-silk-blended-3-4-sleeves-straight-cut-long-kurta,Megha Pandey,"Gurugram, India",4,Good quality,"Nice pick overall. Comfortable, but the length was a touch long for me. Would buy again.",IN,3/22/2026,yes,no,yes
navy-embroidered-silk-blended-kurta-bottom-dupatta-set-4,Mahika Singh,"Ludhiana, India",5,Exceeded expectations,So so happy with this one. The dupatta is gorgeous and the whole set feels festive and premium. Will definitely order again.,IN,5/4/2026,yes,no,yes
dark-green-printed-viscose-blended-midi-dress-2,Kritika Kapoor,"Nashik, India",5,Absolutely love it,Absolutely in love with this! The dress flows beautifully and is so comfortable. Delivery was quick too.,IN,2/17/2026,yes,no,yes
rama-solid-cotton-satin-co-ord-set,Sakshi Singh,"Hyderabad, India",4,Really nice,"Good one for the price. Nice set, the pants were slightly loose but manageable. Recommend it.",IN,4/26/2026,yes,no,yes
sea-green-embroidered-cotton-co-ord-set,Arjun Bajaj,"Dehradun, India",4,Good quality,Good one for the price. Trendy co-ord; colour slightly different from the photo. Good value for money.,IN,2/26/2026,yes,no,yes
magenta-printed-embroidered-cotton-blended-midi-dress,Swati Banerjee,"Patna, India",5,Worth every rupee,Absolutely in love with this! Perfect length and the print is vibrant. Highly recommend to everyone!,IN,5/25/2026,yes,no,yes
purple-printed-viscose-blended-midi-dress,Rahul Malhotra,"Mysuru, India",5,Perfect fit,Worth every single rupee. Perfect length and the print is vibrant. Adding more to my cart soon.,IN,3/24/2026,yes,no,yes
red-embroidered-silk-blended-kurta-bottom-dupatta-set,Saloni Rao,"Surat, India",4,Good quality,"Good one for the price. Good set overall, the bottom was a little long. Happy overall.",IN,3/19/2026,yes,no,yes
purple-embroidered-silk-blended-kurta-bottom-dupatta-set,Aarohi Naidu,"Nagpur, India",4,Happy with it,"Liked it a lot. Good set overall, the bottom was a little long. Good value for money.",IN,2/16/2026,yes,no,yes
multi-colour-printed-cotton-blended-midi-dress,Divya Verma,"Patna, India",5,Exceeded expectations,Such a beautiful piece. Perfect length and the print is vibrant. Delivery was quick too.,IN,6/20/2026,yes,no,yes
purple-embroidered-silk-blended-kurta-bottom-dupatta-set,Isha Sharma,"Dehradun, India",5,Gorgeous!,Absolutely in love with this! The colour and the work look so elegant in person. Highly recommend to everyone!,IN,5/8/2026,yes,no,yes
beige-embroidered-viscose-blended-co-ord-set,Mahika Kulkarni,"Thane, India",5,Highly recommend,This is now my favourite. Top and pants both fit perfectly and the set looks so trendy. Lovely Lady never disappoints.,IN,4/24/2026,yes,no,yes
white-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-3,Nidhi Bhat,"Nashik, India",5,Stunning in person,"Genuinely impressed. Complete set, perfect for functions and got so many compliments. Repeat customer for sure.",IN,6/16/2026,yes,no,yes
magenta-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set,Manav Gupta,"Guwahati, India",5,So elegant,This is now my favourite. The dupatta is gorgeous and the whole set feels festive and premium. Adding more to my cart soon.,IN,5/30/2026,yes,no,yes
white-printed-chanderi-kurta-bottom-dupatta-set,Sanya Naidu,"Thane, India",4,Happy with it,"Quite happy with this. Good set overall, the bottom was a little long. Happy overall.",IN,4/14/2026,yes,no,yes
teal-printed-viscose-blended-midi-dress-2,Manav Patel,"Noida, India",5,Absolutely love it,This is now my favourite. Perfect length and the print is vibrant. Highly recommend to everyone!,IN,6/13/2026,yes,no,yes
green-printed-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Rhea Joshi,"Pune, India",5,Stunning in person,So so happy with this one. Embroidery is rich and the fit of all three pieces is spot on. Lovely Lady never disappoints.,IN,2/18/2026,yes,no,yes
pista-embroidered-viscose-blended-co-ord-set,Sneha Saxena,"Noida, India",5,So elegant,Obsessed with this! The colour is gorgeous in person and the fit is spot on. Adding more to my cart soon.,IN,2/27/2026,yes,no,yes
printed-wine-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Riya Trivedi,"Noida, India",5,Fabric is lovely,Even prettier than the photos. The dupatta is gorgeous and the whole set feels festive and premium. Highly recommend to everyone!,IN,6/6/2026,yes,no,yes
cream-blue-embroidered-cotton-co-ord-set,Anjali Verma,"Guwahati, India",5,Fabric is lovely,So so happy with this one. The colour is gorgeous in person and the fit is spot on. Delivery was quick too.,IN,3/23/2026,yes,no,yes
blue-embroidered-cotton-kurta-bottom-dupatta-set,Aditi Joshi,"Ahmedabad, India",5,Beautiful piece,Loved it the moment I opened the parcel. The dupatta is gorgeous and the whole set feels festive and premium. Highly recommend to everyone!,IN,5/14/2026,yes,no,yes
teal-printed-silk-blended-midi-dress,Ananya Iyer,"Raipur, India",5,Beautiful piece,"Bahut sundar hai, loved it. Flattering fit, great for brunch and dinners. Delivery was quick too.",IN,3/13/2026,yes,no,yes
blue-embroidered-cotton-kurta-bottom-dupatta-set,Isha Sinha,"Gurugram, India",5,Premium quality,Even prettier than the photos. Embroidery is rich and the fit of all three pieces is spot on. Highly recommend to everyone!,IN,3/15/2026,yes,no,yes
printed-wine-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Harshita Roy,"Jaipur, India",5,Perfect fit,Absolutely in love with this! The colour and the work look so elegant in person. Packaging was lovely.,IN,3/22/2026,yes,no,yes
forest-green-printed-viscose-blended-midi-dress,Diya Sharma,"Hyderabad, India",4,Pretty and comfy,Nice pick overall. Nice print; fit was slightly loose at the waist. Recommend it.,IN,2/3/2026,yes,no,yes
green-solid-viscose-blended-korean-style-co-ord-set,Nisha Bhatia,"Vadodara, India",4,Nice for the price,Really pretty piece. Trendy co-ord; colour slightly different from the photo. Good value for money.,IN,3/24/2026,yes,no,yes
royal-blue-embroidered-silk-blended-kurta-bottom-dupatta-set,Megha Pillai,"Mumbai, India",5,Perfect fit,"Bahut sundar hai, loved it. Embroidery is rich and the fit of all three pieces is spot on. Lovely Lady never disappoints.",IN,1/15/2026,yes,no,yes
pink-chikankari-embroidered-viscose-blended-lucknowi-co-ord-set,Kavya Bajaj,"Vadodara, India",5,Repeat buyer,So so happy with this one. Top and pants both fit perfectly and the set looks so trendy. Packaging was lovely.,IN,5/24/2026,no,no,yes
red-printed-viscose-blended-midi-dress,Vaishnavi Naidu,"Patna, India",4,Really nice,Really pretty piece. Nice print; fit was slightly loose at the waist. Recommend it.,IN,2/15/2026,yes,no,yes
green-printed-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Komal Khanna,"Thane, India",5,Perfect fit,Even prettier than the photos. Embroidery is rich and the fit of all three pieces is spot on. Will definitely order again.,IN,6/9/2026,yes,no,yes
red-embroidered-georgette-kurta-bottom-dupatta-set,Manvi Singh,"Visakhapatnam, India",5,Absolutely love it,Worth every single rupee. The dupatta is gorgeous and the whole set feels festive and premium. Repeat customer for sure.,IN,4/3/2026,yes,no,yes
mustard-embroidered-viscose-blended-sleeveless-straight-long-kurta,Yash Mehta,"Lucknow, India",5,Exceeded expectations,"Bahut sundar hai, loved it. The embroidery is delicate and looks really premium. Repeat customer for sure.",IN,4/28/2026,yes,no,yes
printed-teal-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Mahika Iyer,"Ahmedabad, India",5,Best purchase,Such a beautiful piece. The dupatta is gorgeous and the whole set feels festive and premium. Repeat customer for sure.,IN,6/20/2026,yes,no,yes
white-embroidered-cotton-kurta-bottom-dupatta-set,Rhea Mehta,"Hyderabad, India",5,Absolutely love it,Genuinely impressed. The colour and the work look so elegant in person. Repeat customer for sure.,IN,4/12/2026,yes,no,yes
teal-printed-viscose-blended-midi-dress,Pooja Pillai,"Bengaluru, India",5,Gorgeous!,"Obsessed with this! Flattering fit, great for brunch and dinners. Will definitely order again.",IN,1/17/2026,yes,no,yes
pink-embroidered-cotton-blended-midi-dress,Nidhi Kulkarni,"Kolkata, India",5,Highly recommend,"Even prettier than the photos. Flattering fit, great for brunch and dinners. Packaging was lovely.",IN,3/5/2026,yes,yes,yes
green-printed-rayon-midi-dress,Kavya Jain,"Bhubaneswar, India",3,Mixed feelings,It's an okay piece. Print is nice but the fit was average. Might order again on a sale.,IN,5/16/2026,yes,no,yes
black-printed-silk-blended-midi-dress,Aditya Chauhan,"Ludhiana, India",5,Best purchase,"This is now my favourite. Lovely fabric, twirls so well and feels premium. Repeat customer for sure.",IN,1/5/2026,yes,no,yes
teal-printed-silk-blended-midi-dress,Sneha Bhatia,"Ludhiana, India",4,Good quality,"Nice pick overall. Good dress, the length was a little long for me. Would buy again.",IN,5/18/2026,yes,no,yes
yellow-embroidered-georgette-kurta-bottom-dupatta-set,Deepika Iyer,"Surat, India",5,Repeat buyer,"Bahut sundar hai, loved it. Complete set, perfect for functions and got so many compliments. Repeat customer for sure.",IN,2/15/2026,yes,no,yes
magenta-embroidered-silk-blended-kurta-bottom-dupatta-set,Naina Bajaj,"Dehradun, India",4,Looks great,"Really pretty piece. Good set overall, the bottom was a little long. Recommend it.",IN,2/20/2026,yes,no,yes
white-embroidered-viscose-blended-sleeveless-straight-long-kurta,Nidhi Khanna,"Nagpur, India",4,Good quality,Good one for the price. Fit is good and the fabric is comfortable. Recommend it.,IN,5/12/2026,yes,no,yes
printed-magenta-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Komal Sinha,"Kochi, India",5,Repeat buyer,Genuinely impressed. The colour and the work look so elegant in person. Repeat customer for sure.,IN,6/15/2026,yes,no,yes
green-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-2,Nidhi Nair,"Bengaluru, India",5,Highly recommend,Obsessed with this! The colour and the work look so elegant in person. Will definitely order again.,IN,2/3/2026,yes,no,yes
green-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set-2,Shruti Naidu,"Lucknow, India",5,Exceeded expectations,"Genuinely impressed. Complete set, perfect for functions and got so many compliments. Repeat customer for sure.",IN,1/12/2026,yes,no,yes
black-embroidered-viscose-blended-co-ord-set,Kritika Pandey,"Surat, India",5,Beautiful piece,Even prettier than the photos. Top and pants both fit perfectly and the set looks so trendy. Lovely Lady never disappoints.,IN,1/11/2026,no,no,yes
wine-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set-2,Swati Saxena,"Vadodara, India",5,Gorgeous!,Such a beautiful piece. The colour and the work look so elegant in person. Adding more to my cart soon.,IN,3/2/2026,yes,no,yes
yellow-solid-viscose-blended-korean-style-co-ord-set,Nisha Nair,"Surat, India",5,Stunning in person,Worth every single rupee. The fabric falls beautifully and feels premium. Packaging was lovely.,IN,5/5/2026,yes,no,yes
sky-blue-printed-viscose-blended-midi-dress,Megha Patel,"Nashik, India",5,Absolutely love it,"Genuinely impressed. Flattering fit, great for brunch and dinners. Repeat customer for sure.",IN,2/3/2026,yes,no,yes
teal-blue-embroidered-cotton-co-ord-set,Ridhima Chauhan,"Guwahati, India",5,Best purchase,Loved it the moment I opened the parcel. The fabric falls beautifully and feels premium. Adding more to my cart soon.,IN,4/1/2026,yes,no,yes
forest-green-printed-viscose-blended-midi-dress,Kritika Goel,"Thane, India",5,Beautiful piece,Obsessed with this! Perfect length and the print is vibrant. Delivery was quick too.,IN,5/4/2026,yes,no,yes
white-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set,Rishabh Bose,"Patna, India",5,Exceeded expectations,Even prettier than the photos. The colour and the work look so elegant in person. Delivery was quick too.,IN,2/20/2026,yes,no,yes
white-embroidered-viscose-blended-co-ord-set,Trisha Reddy,"Lucknow, India",5,Gorgeous!,"Bahut sundar hai, loved it. Top and pants both fit perfectly and the set looks so trendy. Will definitely order again.",IN,4/16/2026,yes,no,yes
yellow-embroidered-cotton-co-ord-set,Tara Chopra,"Gurugram, India",5,Beautiful piece,Genuinely impressed. The colour is gorgeous in person and the fit is spot on. Delivery was quick too.,IN,5/7/2026,yes,yes,yes
black-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set,Aishwarya Sharma,"Hyderabad, India",5,Absolutely love it,This is now my favourite. Embroidery is rich and the fit of all three pieces is spot on. Adding more to my cart soon.,IN,4/19/2026,yes,no,yes
white-embroidered-viscose-blended-sleeveless-straight-long-kurta,Neha Bhatia,"Coimbatore, India",5,Gorgeous!,So so happy with this one. The embroidery is delicate and looks really premium. Repeat customer for sure.,IN,2/4/2026,yes,no,yes
pink-printed-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Diya Agarwal,"Raipur, India",5,Best purchase,Loved it the moment I opened the parcel. The dupatta is gorgeous and the whole set feels festive and premium. Will definitely order again.,IN,3/30/2026,yes,no,yes
peacock-printed-viscose-blended-midi-dress,Sakshi Saxena,"Bhubaneswar, India",4,Happy with it,Really pretty piece. Nice print; fit was slightly loose at the waist. Recommend it.,IN,5/4/2026,yes,no,yes
blue-printed-viscose-blended-midi-dress,Priya Trivedi,"Bengaluru, India",4,Nice for the price,Liked it a lot. Pretty dress and comfortable fabric. Recommend it.,IN,4/18/2026,yes,no,yes
red-embroidered-silk-blended-kurta-bottom-dupatta-set,Ridhima Pandey,"Bhubaneswar, India",5,Gorgeous!,Worth every single rupee. Embroidery is rich and the fit of all three pieces is spot on. Highly recommend to everyone!,IN,2/11/2026,yes,no,yes
white-embroidered-cotton-kurta-bottom-dupatta-set,Dhruv Saxena,"Coimbatore, India",5,Highly recommend,This is now my favourite. Embroidery is rich and the fit of all three pieces is spot on. Adding more to my cart soon.,IN,4/17/2026,yes,yes,yes
peach-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set,Neha Gupta,"Pune, India",5,Exceeded expectations,Such a beautiful piece. The colour and the work look so elegant in person. Highly recommend to everyone!,IN,3/12/2026,yes,no,yes
purple-embroidered-silk-blended-kurta-bottom-dupatta-set-2,Megha Dubey,"Dehradun, India",5,Premium quality,So so happy with this one. The dupatta is gorgeous and the whole set feels festive and premium. Will definitely order again.,IN,1/26/2026,yes,no,yes
purple-embroidered-silk-blended-kurta-bottom-dupatta-set,Lavanya Chauhan,"Kochi, India",4,Runs slightly small,"Good one for the price. Good set overall, the bottom was a little long. Would buy again.",IN,5/24/2026,yes,no,yes
lavender-embroidered-silk-blended-kurta-bottom-dupatta-set,Rahul Sinha,"Dehradun, India",5,So elegant,Absolutely in love with this! The dupatta is gorgeous and the whole set feels festive and premium. Packaging was lovely.,IN,5/8/2026,yes,no,yes
purple-solid-viscose-blended-korean-style-co-ord-set,Manvi Menon,"Chandigarh, India",5,Highly recommend,Loved it the moment I opened the parcel. The fabric falls beautifully and feels premium. Delivery was quick too.,IN,4/5/2026,yes,no,yes
royal-blue-embroidered-silk-blended-kurta-bottom-dupatta-set,Yash Naidu,"Chandigarh, India",5,Absolutely love it,Such a beautiful piece. Embroidery is rich and the fit of all three pieces is spot on. Delivery was quick too.,IN,3/30/2026,yes,no,yes
blue-embroidered-viscose-blended-co-ord-set,Mahika Nair,"Lucknow, India",5,Gorgeous!,So so happy with this one. Top and pants both fit perfectly and the set looks so trendy. Packaging was lovely.,IN,2/17/2026,yes,no,yes
purple-embroidered-viscose-blended-co-ord-set,Ridhima Menon,"Guwahati, India",5,Gorgeous!,Worth every single rupee. Top and pants both fit perfectly and the set looks so trendy. Repeat customer for sure.,IN,5/6/2026,yes,no,yes
turquoise-green-solid-cotton-satin-co-ord-set,Nidhi Bhat,"Dehradun, India",5,Worth every rupee,Even prettier than the photos. The colour is gorgeous in person and the fit is spot on. Adding more to my cart soon.,IN,3/11/2026,yes,no,yes
black-printed-embroidered-cotton-blended-midi-dress,Bhavya Reddy,"Patna, India",4,Good buy,"Liked it a lot. Good dress, the length was a little long for me. Happy overall.",IN,1/26/2026,yes,no,yes
white-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-3,Ishita Nair,"Vadodara, India",5,Got so many compliments,Loved it the moment I opened the parcel. Embroidery is rich and the fit of all three pieces is spot on. Delivery was quick too.,IN,5/16/2026,no,no,yes
magenta-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set,Garima Desai,"Jaipur, India",5,Perfect fit,"So so happy with this one. Complete set, perfect for functions and got so many compliments. Lovely Lady never disappoints.",IN,5/31/2026,yes,yes,yes
brown-embroidered-silk-blended-3-4-sleeves-straight-cut-long-kurta,Siddharth Menon,"Mysuru, India",5,Repeat buyer,So so happy with this one. The embroidery is delicate and looks really premium. Repeat customer for sure.,IN,5/21/2026,yes,no,yes
printed-wine-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Ishita Gupta,"Nagpur, India",5,Bahut sundar,Loved it the moment I opened the parcel. Embroidery is rich and the fit of all three pieces is spot on. Repeat customer for sure.,IN,3/13/2026,yes,yes,yes
white-embroidered-cotton-kurta-bottom-dupatta-set,Divya Khanna,"Ahmedabad, India",5,Repeat buyer,Genuinely impressed. The dupatta is gorgeous and the whole set feels festive and premium. Packaging was lovely.,IN,4/25/2026,yes,no,yes
dark-green-printed-viscose-blended-midi-dress,Nidhi Menon,"Bhubaneswar, India",4,Runs slightly small,"Quite happy with this. Good dress, the length was a little long for me. Recommend it.",IN,5/24/2026,yes,no,yes
dark-green-printed-viscose-blended-midi-dress,Komal Desai,"Surat, India",5,Repeat buyer,"Loved it the moment I opened the parcel. Flattering fit, great for brunch and dinners. Packaging was lovely.",IN,1/9/2026,yes,no,yes
green-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-2,Deepika Sinha,"Jaipur, India",4,Happy with it,"Good one for the price. Good set overall, the bottom was a little long. Happy overall.",IN,6/15/2026,yes,no,yes
mustard-embroidered-viscose-blended-sleeveless-straight-long-kurta,Aarohi Bajaj,"Noida, India",5,Exceeded expectations,Absolutely in love with this! Length is perfect and the stitching is neat. Packaging was lovely.,IN,2/3/2026,yes,no,yes
black-printed-embroidered-cotton-blended-midi-dress,Nisha Sinha,"Raipur, India",5,Highly recommend,"This is now my favourite. Flattering fit, great for brunch and dinners. Repeat customer for sure.",IN,5/10/2026,yes,no,yes
navy-embroidered-silk-blended-kurta-bottom-dupatta-set-4,Meera Trivedi,"Ludhiana, India",5,Gorgeous!,Genuinely impressed. The colour and the work look so elegant in person. Delivery was quick too.,IN,6/3/2026,yes,no,yes
dark-green-printed-viscose-blended-midi-dress-2,Simran Sinha,"Gurugram, India",5,Bahut sundar,Worth every single rupee. The dress flows beautifully and is so comfortable. Adding more to my cart soon.,IN,3/23/2026,yes,no,yes
pista-embroidered-cotton-blended-midi-dress,Arjun Chauhan,"Bhubaneswar, India",4,Pretty and comfy,Liked it a lot. Nice print; fit was slightly loose at the waist. Good value for money.,IN,1/18/2026,yes,no,yes
green-printed-rayon-midi-dress-2,Meera Shetty,"Ludhiana, India",5,Gorgeous!,Genuinely impressed. Perfect length and the print is vibrant. Delivery was quick too.,IN,2/22/2026,yes,no,yes
green-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Kritika Chawla,"Visakhapatnam, India",5,Gorgeous!,Even prettier than the photos. Embroidery is rich and the fit of all three pieces is spot on. Lovely Lady never disappoints.,IN,6/17/2026,yes,yes,yes
rama-solid-cotton-satin-co-ord-set,Anjali Mehta,"Ludhiana, India",5,Premium quality,"Obsessed with this! Such a comfy co-ord, perfect for brunch and travel. Delivery was quick too.",IN,2/8/2026,yes,no,yes
maroon-printed-silk-blended-midi-dress,Manav Arora,"Ahmedabad, India",4,Good quality,"Quite happy with this. Good dress, the length was a little long for me. Good value for money.",IN,5/5/2026,yes,no,yes
black-embroidered-viscose-blended-co-ord-set,Siddharth Goel,"Mysuru, India",5,Worth every rupee,Obsessed with this! The colour is gorgeous in person and the fit is spot on. Repeat customer for sure.,IN,3/18/2026,yes,no,yes
green-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set-2,Ananya Joshi,"Bhubaneswar, India",5,Absolutely love it,This is now my favourite. The colour and the work look so elegant in person. Repeat customer for sure.,IN,2/13/2026,yes,no,yes
green-printed-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Lavanya Chopra,"Kolkata, India",5,Highly recommend,"Obsessed with this! Complete set, perfect for functions and got so many compliments. Lovely Lady never disappoints.",IN,1/23/2026,yes,no,yes
multi-colour-printed-cotton-blended-midi-dress-2,Aditi Sharma,"Patna, India",5,Fabric is lovely,Worth every single rupee. The dress flows beautifully and is so comfortable. Delivery was quick too.,IN,5/5/2026,yes,no,yes
lavender-embroidered-viscose-silk-blended-co-ord-set,Vaishnavi Rao,"Bhopal, India",5,Highly recommend,Even prettier than the photos. Top and pants both fit perfectly and the set looks so trendy. Adding more to my cart soon.,IN,2/1/2026,yes,no,yes
yellow-embroidered-silk-blended-3-4-sleeves-straight-cut-long-kurta,Khushi Singh,"Lucknow, India",5,So elegant,"Bahut sundar hai, loved it. Length is perfect and the stitching is neat. Delivery was quick too.",IN,4/21/2026,yes,no,yes
white-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-3,Deepika Chawla,"Thane, India",5,Premium quality,So so happy with this one. The colour and the work look so elegant in person. Will definitely order again.,IN,6/9/2026,yes,no,yes
red-embroidered-georgette-kurta-bottom-dupatta-set,Diya Arora,"Chandigarh, India",5,Worth every rupee,Obsessed with this! The colour and the work look so elegant in person. Repeat customer for sure.,IN,2/14/2026,yes,no,yes
printed-magenta-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Neha Desai,"Kolkata, India",5,Premium quality,"So so happy with this one. Complete set, perfect for functions and got so many compliments. Delivery was quick too.",IN,1/28/2026,yes,no,yes
teal-blue-printed-embroidered-cotton-blended-midi-dress,Neha Arora,"Bhubaneswar, India",5,Repeat buyer,Obsessed with this! Perfect length and the print is vibrant. Will definitely order again.,IN,4/22/2026,no,no,yes
green-printed-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set-3,Megha Bhatia,"Mysuru, India",5,Repeat buyer,So so happy with this one. The colour and the work look so elegant in person. Lovely Lady never disappoints.,IN,4/22/2026,yes,no,yes
green-printed-rayon-midi-dress-2,Rohan Agarwal,"Noida, India",4,Pretty and comfy,Liked it a lot. Pretty dress and comfortable fabric. Recommend it.,IN,5/18/2026,yes,no,yes
black-solid-cotton-satin-co-ord-set,Snigdha Agarwal,"Kolkata, India",5,Bahut sundar,Absolutely in love with this! The colour is gorgeous in person and the fit is spot on. Lovely Lady never disappoints.,IN,3/12/2026,yes,no,yes
golden-coloured-embroidered-viscose-silk-blended-co-ord-set,Vaishnavi Nair,"Hyderabad, India",5,Perfect fit,"Obsessed with this! Such a comfy co-ord, perfect for brunch and travel. Will definitely order again.",IN,3/12/2026,yes,yes,yes
sea-green-embroidered-cotton-co-ord-set,Khushi Patel,"Indore, India",3,It's okay,It's an okay piece. Top was nice but the pant fit was just okay. Just be sure about the size.,IN,5/11/2026,yes,no,yes
sky-blue-embroidered-cotton-co-ord-set,Saloni Dubey,"Delhi, India",4,Nice for the price,"Good one for the price. Nice set, the pants were slightly loose but manageable. Recommend it.",IN,5/11/2026,yes,no,yes
lavender-embroidered-viscose-silk-blended-co-ord-set,Aarohi Menon,"Dehradun, India",5,Got so many compliments,"Obsessed with this! Such a comfy co-ord, perfect for brunch and travel. Delivery was quick too.",IN,3/10/2026,yes,no,yes
light-grey-embroidered-viscose-blended-co-ord-set,Rishabh Chopra,"Hyderabad, India",5,Repeat buyer,So so happy with this one. Top and pants both fit perfectly and the set looks so trendy. Lovely Lady never disappoints.,IN,2/16/2026,yes,no,yes
turquoise-blue-embroidered-silk-blended-3-4-sleeves-straight-cut-long-kurta,Nidhi Khanna,"Pune, India",4,Really nice,"Good one for the price. Nice embroidery, though the colour is slightly lighter than shown. Recommend it.",IN,4/27/2026,yes,no,yes
white-embroidered-viscose-blended-co-ord-set-2,Saloni Agarwal,"Thane, India",5,Repeat buyer,Worth every single rupee. The fabric falls beautifully and feels premium. Adding more to my cart soon.,IN,5/21/2026,yes,no,yes
multi-colour-printed-cotton-blended-midi-dress,Snigdha Singh,"Lucknow, India",5,Premium quality,This is now my favourite. The dress flows beautifully and is so comfortable. Lovely Lady never disappoints.,IN,5/3/2026,yes,no,yes
